ObservationID,ObservationDate,ObservedEmployeeID,Location,Category,Description,RiskLevel,IsNearMiss,IsIncident
OBS00024,2024-08-01 13:20:57,EMP0137,Tool Room,Machine Safety,Gloves missing during handling.,High,False,False
OBS00025,2024-01-22 10:03:19,EMP0096,Press Shop,PPE,Oil spill spotted on walkway.,Medium,False,False
OBS00026,2024-03-15 10:14:30,EMP0076,Loading Bay,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00027,2024-05-01 14:45:47,EMP0146,Line-3,Ergonomics,Poor posture observed during lifting.,Low,False,False
OBS00028,2024-04-06 14:32:47,EMP0180,Tool Room,Ergonomics,Machine guard left open.,High,False,False
OBS00029,2024-11-24 16:51:52,EMP0024,Line-3,Ergonomics,Poor posture observed during lifting.,Medium,False,False
OBS00030,2024-12-12 16:38:52,EMP0145,Warehouse,Machine Safety,Worker showed correct PPE usage.,Medium,False,False
OBS00031,2024-10-03 14:57:17,EMP0176,Paint Booth,Housekeeping,Gloves missing during handling.,Medium,False,False
OBS00032,2024-11-30 02:19:12,EMP0060,Paint Booth,Ergonomics,Gloves missing during handling.,High,True,False
OBS00033,2024-11-25 16:41:26,EMP0096,Paint Booth,PPE,Worker showed correct PPE usage.,Low,True,False
OBS00034,2024-01-01 17:51:05,EMP0154,CNC Area,PPE,Machine guard left open.,Low,False,False
OBS00035,2024-04-05 23:52:29,EMP0149,Press Shop,Housekeeping,Chemical container improperly placed.,Medium,False,False
OBS00036,2024-05-10 12:29:32,EMP0146,Press Shop,Ergonomics,Poor posture observed during lifting.,High,True,False
OBS00037,2024-10-13 18:54:41,EMP0176,Warehouse,Machine Safety,Chemical container improperly placed.,Medium,False,True
OBS00038,2024-03-18 09:25:00,EMP0061,Paint Booth,PPE,Oil spill spotted on walkway.,Low,False,True
OBS00039,2024-08-17 23:14:16,EMP0006,Line-3,Housekeeping,Worker showed correct PPE usage.,Medium,False,False
OBS00040,2024-08-22 22:56:26,EMP0068,Warehouse,Chemical Safety,Worker showed correct PPE usage.,Low,False,False
OBS00041,2024-01-15 00:03:10,EMP0158,Warehouse,Housekeeping,Chemical container improperly placed.,High,False,False
OBS00042,2024-08-17 03:58:21,EMP0025,Yard,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00043,2024-09-10 15:54:08,EMP0130,Press Shop,PPE,Poor posture observed during lifting.,Low,False,False
OBS00044,2024-02-06 00:53:26,EMP0161,CNC Area,PPE,Machine guard left open.,Medium,False,False
OBS00045,2024-12-28 04:07:05,EMP0185,Paint Booth,Chemical Safety,Gloves missing during handling.,Medium,False,False
OBS00046,2024-08-10 16:55:32,EMP0170,Warehouse,Machine Safety,Machine guard left open.,Low,False,False
OBS00047,2024-11-20 10:55:53,EMP0108,Warehouse,Chemical Safety,Machine guard left open.,Medium,True,False
OBS00048,2024-07-20 21:35:23,EMP0178,Line-3,Ergonomics,Machine guard left open.,Medium,False,False
OBS00049,2024-11-09 09:12:35,EMP0064,Yard,Ergonomics,Machine guard left open.,Medium,False,False
OBS00050,2024-11-03 05:09:37,EMP0088,Line-1,Ergonomics,Oil spill spotted on walkway.,Medium,False,False
OBS00051,2024-12-26 17:46:21,EMP0098,Press Shop,Housekeeping,Oil spill spotted on walkway.,Medium,False,False
OBS00052,2024-12-10 14:34:20,EMP0078,Line-2,Ergonomics,Worker showed correct PPE usage.,Medium,False,True
OBS00053,2024-10-10 14:51:24,EMP0131,Yard,Housekeeping,Worker showed correct PPE usage.,High,True,False
OBS00054,2024-09-05 19:58:24,EMP0065,Warehouse,Chemical Safety,Chemical container improperly placed.,Low,False,False
OBS00055,2024-05-01 00:31:15,EMP0192,Paint Booth,Machine Safety,Machine guard left open.,Low,False,False
OBS00056,2024-08-13 05:00:39,EMP0163,Paint Booth,PPE,Gloves missing during handling.,Medium,True,False
OBS00057,2024-03-07 02:24:52,EMP0151,Line-3,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00058,2024-03-09 06:14:19,EMP0056,Press Shop,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00059,2024-10-30 08:01:41,EMP0053,Paint Booth,PPE,Machine guard left open.,Low,False,False
OBS00060,2024-09-22 06:12:38,EMP0124,Press Shop,Machine Safety,Worker showed correct PPE usage.,Medium,False,False
OBS00061,2024-11-20 15:33:41,EMP0082,Line-2,Machine Safety,Machine guard left open.,Low,True,False
OBS00062,2024-10-15 01:10:17,EMP0135,Line-2,Chemical Safety,Poor posture observed during lifting.,Medium,True,False
OBS00063,2024-09-17 11:11:42,EMP0010,Loading Bay,Machine Safety,Chemical container improperly placed.,Low,False,False
OBS00064,2024-06-16 20:22:48,EMP0180,Tool Room,PPE,Chemical container improperly placed.,Medium,False,False
OBS00065,2024-05-12 19:17:12,EMP0024,Line-1,Ergonomics,Worker showed correct PPE usage.,Low,False,False
OBS00066,2024-08-31 07:16:09,EMP0039,Paint Booth,Machine Safety,Gloves missing during handling.,Medium,False,False
OBS00067,2024-06-29 05:25:27,EMP0042,Line-3,PPE,Oil spill spotted on walkway.,Low,False,False
OBS00068,2024-04-08 20:42:33,EMP0039,Warehouse,PPE,Gloves missing during handling.,High,False,False
OBS00069,2024-05-26 18:51:06,EMP0108,Tool Room,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00070,2024-03-10 14:59:58,EMP0133,Loading Bay,Chemical Safety,Gloves missing during handling.,Medium,False,False
OBS00071,2024-03-31 00:46:55,EMP0090,Line-2,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00072,2024-10-22 06:56:18,EMP0074,Yard,Chemical Safety,Poor posture observed during lifting.,Medium,False,False
OBS00073,2024-08-15 17:59:58,EMP0110,Yard,Ergonomics,Gloves missing during handling.,Medium,True,False
OBS00074,2024-12-11 13:02:49,EMP0133,Warehouse,Machine Safety,Poor posture observed during lifting.,Low,False,False
OBS00075,2024-05-08 04:39:29,EMP0109,CNC Area,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00076,2024-09-09 21:31:21,EMP0018,Warehouse,Housekeeping,Oil spill spotted on walkway.,Low,False,False
OBS00077,2024-11-11 16:52:02,EMP0118,Warehouse,Chemical Safety,Worker showed correct PPE usage.,Low,True,False
OBS00078,2024-10-04 19:05:31,EMP0013,Press Shop,Chemical Safety,Gloves missing during handling.,Low,False,True
OBS00079,2024-08-31 19:17:16,EMP0163,Yard,Chemical Safety,Worker showed correct PPE usage.,High,False,False
OBS00080,2024-03-21 21:59:19,EMP0008,Line-3,Machine Safety,Poor posture observed during lifting.,Medium,True,False
OBS00081,2024-04-30 02:35:10,EMP0188,Line-2,Machine Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00082,2024-05-08 02:41:43,EMP0005,Warehouse,Ergonomics,Oil spill spotted on walkway.,High,False,False
OBS00083,2024-04-16 19:31:44,EMP0016,Yard,Ergonomics,Worker showed correct PPE usage.,High,True,False
OBS00084,2024-04-17 06:20:04,EMP0019,Line-3,Chemical Safety,Gloves missing during handling.,High,False,True
OBS00085,2024-04-15 18:01:14,EMP0015,Line-1,Machine Safety,Poor posture observed during lifting.,Medium,False,False
OBS00086,2024-10-30 17:43:18,EMP0078,Paint Booth,Chemical Safety,Gloves missing during handling.,Medium,False,False
OBS00087,2024-05-24 17:41:44,EMP0004,Tool Room,Housekeeping,Worker showed correct PPE usage.,Low,False,False
OBS00088,2024-03-16 18:00:34,EMP0115,Line-1,Housekeeping,Poor posture observed during lifting.,High,False,False
OBS00089,2024-08-19 15:19:38,EMP0169,Loading Bay,Machine Safety,Gloves missing during handling.,Medium,True,False
OBS00090,2024-04-23 22:07:14,EMP0058,Line-1,PPE,Gloves missing during handling.,Medium,False,False
OBS00091,2024-11-18 11:59:36,EMP0024,Line-3,PPE,Gloves missing during handling.,Medium,False,False
OBS00092,2024-06-16 05:26:25,EMP0111,Tool Room,Chemical Safety,Oil spill spotted on walkway.,Medium,False,True
OBS00093,2024-02-27 17:50:49,EMP0074,Line-3,PPE,Chemical container improperly placed.,High,True,False
OBS00094,2024-10-05 07:33:44,EMP0082,Loading Bay,PPE,Chemical container improperly placed.,Low,False,False
OBS00095,2024-05-15 23:34:26,EMP0126,Press Shop,Housekeeping,Poor posture observed during lifting.,High,False,False
OBS00096,2024-08-29 14:19:16,EMP0140,Yard,Chemical Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00097,2024-08-12 04:58:04,EMP0060,Warehouse,Housekeeping,Chemical container improperly placed.,High,False,False
OBS00098,2024-03-05 06:16:36,EMP0184,Loading Bay,PPE,Chemical container improperly placed.,Medium,False,False
OBS00099,2024-01-27 16:45:41,EMP0077,Line-2,Chemical Safety,Machine guard left open.,High,False,True
OBS00100,2024-12-12 08:25:43,EMP0009,Warehouse,Housekeeping,Chemical container improperly placed.,High,False,False
OBS00101,2024-02-14 10:51:06,EMP0089,Warehouse,Ergonomics,Poor posture observed during lifting.,Medium,False,False
OBS00102,2024-08-07 01:36:02,EMP0096,Warehouse,Housekeeping,Chemical container improperly placed.,Medium,False,True
OBS00103,2024-03-26 11:12:03,EMP0198,Line-3,Machine Safety,Oil spill spotted on walkway.,Low,False,False
OBS00104,2024-09-04 17:32:55,EMP0198,Warehouse,Ergonomics,Gloves missing during handling.,Low,False,False
OBS00105,2024-03-24 20:58:56,EMP0046,Tool Room,PPE,Worker showed correct PPE usage.,Low,False,False
OBS00106,2024-04-20 15:55:59,EMP0023,Paint Booth,Ergonomics,Chemical container improperly placed.,High,True,False
OBS00107,2024-07-26 02:29:53,EMP0200,Press Shop,Ergonomics,Worker showed correct PPE usage.,High,False,False
OBS00108,2024-10-23 05:50:42,EMP0056,Line-3,Machine Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00109,2024-02-14 03:52:46,EMP0163,Paint Booth,Ergonomics,Oil spill spotted on walkway.,Medium,False,False
OBS00110,2024-12-11 05:53:01,EMP0039,Press Shop,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00111,2024-01-23 20:23:08,EMP0062,Yard,Machine Safety,Oil spill spotted on walkway.,Low,False,False
OBS00112,2024-10-17 14:57:59,EMP0015,Tool Room,Housekeeping,Poor posture observed during lifting.,Medium,True,False
OBS00113,2024-03-22 19:28:06,EMP0199,Press Shop,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00114,2024-02-22 16:46:42,EMP0100,Paint Booth,Machine Safety,Oil spill spotted on walkway.,Low,False,False
OBS00115,2024-09-14 22:44:09,EMP0050,Paint Booth,Chemical Safety,Oil spill spotted on walkway.,Low,False,False
OBS00116,2024-07-28 00:32:58,EMP0168,Yard,PPE,Poor posture observed during lifting.,High,False,False
OBS00117,2024-01-11 21:49:21,EMP0003,Yard,Ergonomics,Worker showed correct PPE usage.,Low,False,False
OBS00118,2024-09-18 08:03:33,EMP0163,Line-1,Ergonomics,Worker showed correct PPE usage.,Medium,False,False
OBS00119,2024-07-10 00:59:50,EMP0120,Press Shop,Chemical Safety,Oil spill spotted on walkway.,High,True,False
OBS00120,2024-12-22 01:36:06,EMP0200,CNC Area,Chemical Safety,Gloves missing during handling.,Medium,False,False
OBS00121,2024-03-28 11:49:09,EMP0163,Line-3,Housekeeping,Chemical container improperly placed.,Low,False,False
OBS00122,2024-05-18 10:00:43,EMP0171,Line-2,Chemical Safety,Worker showed correct PPE usage.,High,False,False
OBS00123,2024-06-21 01:43:37,EMP0167,Loading Bay,Chemical Safety,Oil spill spotted on walkway.,High,False,False
OBS00124,2024-03-02 04:06:07,EMP0116,Line-2,Housekeeping,Worker showed correct PPE usage.,Medium,True,False
OBS00125,2024-08-31 05:55:44,EMP0130,CNC Area,Ergonomics,Gloves missing during handling.,Low,False,False
OBS00126,2024-05-14 08:28:29,EMP0024,CNC Area,Machine Safety,Oil spill spotted on walkway.,High,False,False
OBS00127,2024-01-24 09:22:59,EMP0015,Line-2,Ergonomics,Machine guard left open.,High,False,False
OBS00128,2024-11-07 04:25:59,EMP0037,Line-3,Ergonomics,Chemical container improperly placed.,High,False,False
OBS00129,2024-03-20 02:59:44,EMP0006,Press Shop,Ergonomics,Gloves missing during handling.,Low,False,False
OBS00130,2024-02-27 02:29:23,EMP0109,Line-1,Housekeeping,Oil spill spotted on walkway.,High,True,False
OBS00131,2024-02-12 18:12:46,EMP0010,CNC Area,Chemical Safety,Oil spill spotted on walkway.,Low,False,False
OBS00132,2024-10-13 07:02:34,EMP0025,Yard,Ergonomics,Poor posture observed during lifting.,Medium,True,False
OBS00133,2024-08-22 03:09:23,EMP0047,Line-2,Ergonomics,Chemical container improperly placed.,Medium,False,False
OBS00134,2024-04-07 18:23:27,EMP0112,Line-1,Housekeeping,Poor posture observed during lifting.,Low,False,False
OBS00135,2024-09-11 11:45:07,EMP0110,Press Shop,Housekeeping,Oil spill spotted on walkway.,Medium,False,False
OBS00136,2024-02-25 16:26:28,EMP0097,Press Shop,Ergonomics,Machine guard left open.,Medium,False,False
OBS00137,2024-11-19 13:28:05,EMP0171,Yard,PPE,Oil spill spotted on walkway.,Low,False,False
OBS00138,2024-02-21 01:27:01,EMP0002,CNC Area,Chemical Safety,Machine guard left open.,High,True,False
OBS00139,2024-11-16 20:48:47,EMP0120,Press Shop,Housekeeping,Poor posture observed during lifting.,High,False,False
OBS00140,2024-09-07 22:35:26,EMP0057,Paint Booth,Machine Safety,Worker showed correct PPE usage.,Medium,False,False
OBS00141,2024-01-06 06:27:58,EMP0181,Tool Room,Chemical Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00142,2024-08-05 05:22:39,EMP0044,Line-3,Machine Safety,Worker showed correct PPE usage.,Low,False,False
OBS00143,2024-11-22 04:13:13,EMP0030,Press Shop,Housekeeping,Machine guard left open.,Medium,False,False
OBS00144,2024-05-07 05:37:07,EMP0060,Warehouse,Chemical Safety,Poor posture observed during lifting.,High,False,False
OBS00145,2024-12-04 20:26:28,EMP0130,Paint Booth,Housekeeping,Gloves missing during handling.,High,False,False
OBS00146,2024-01-08 21:36:48,EMP0119,Yard,Housekeeping,Gloves missing during handling.,Medium,False,True
OBS00147,2024-09-06 21:48:38,EMP0055,Line-1,Chemical Safety,Machine guard left open.,Low,False,False
OBS00148,2024-06-05 15:08:13,EMP0146,CNC Area,Housekeeping,Oil spill spotted on walkway.,Medium,True,False
OBS00149,2024-05-15 00:24:45,EMP0067,Line-1,PPE,Machine guard left open.,High,False,False
OBS00150,2024-07-31 16:07:42,EMP0055,Loading Bay,PPE,Machine guard left open.,Low,False,False
OBS00151,2024-11-08 21:44:58,EMP0161,Yard,Machine Safety,Chemical container improperly placed.,Low,False,False
OBS00152,2024-10-01 08:05:57,EMP0148,Warehouse,Ergonomics,Oil spill spotted on walkway.,Medium,False,False
OBS00153,2024-11-30 09:22:02,EMP0175,Paint Booth,Housekeeping,Gloves missing during handling.,Low,False,False
OBS00154,2024-02-18 09:19:17,EMP0198,Line-2,Machine Safety,Oil spill spotted on walkway.,High,False,False
OBS00155,2024-08-13 08:05:16,EMP0021,Press Shop,Chemical Safety,Chemical container improperly placed.,Medium,False,False
OBS00156,2024-11-09 02:00:20,EMP0004,Loading Bay,Chemical Safety,Worker showed correct PPE usage.,Medium,False,False
OBS00157,2024-09-23 13:46:43,EMP0061,Paint Booth,Machine Safety,Oil spill spotted on walkway.,Low,False,False
OBS00158,2024-07-15 08:22:53,EMP0162,Tool Room,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00159,2024-01-02 20:35:06,EMP0084,Line-3,Chemical Safety,Poor posture observed during lifting.,High,True,False
OBS00160,2024-10-14 10:39:21,EMP0120,Line-3,Housekeeping,Oil spill spotted on walkway.,Low,False,False
OBS00161,2024-01-04 04:48:07,EMP0173,Line-3,Chemical Safety,Gloves missing during handling.,High,False,False
OBS00162,2024-03-25 17:59:10,EMP0022,Line-2,Chemical Safety,Oil spill spotted on walkway.,High,False,False
OBS00163,2024-03-24 21:31:53,EMP0197,Loading Bay,Ergonomics,Machine guard left open.,High,False,False
OBS00164,2024-04-12 18:08:18,EMP0165,Tool Room,Machine Safety,Poor posture observed during lifting.,Low,False,False
OBS00165,2024-07-09 09:04:03,EMP0056,Press Shop,Ergonomics,Worker showed correct PPE usage.,Low,False,False
OBS00166,2024-09-22 08:18:06,EMP0019,CNC Area,Housekeeping,Chemical container improperly placed.,Low,False,False
OBS00167,2024-11-10 07:00:34,EMP0147,Paint Booth,PPE,Machine guard left open.,High,False,False
OBS00168,2024-05-04 08:30:33,EMP0173,Yard,PPE,Poor posture observed during lifting.,Low,False,False
OBS00169,2024-12-15 18:54:38,EMP0041,Line-1,Chemical Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00170,2024-02-19 11:26:35,EMP0171,Line-2,Machine Safety,Gloves missing during handling.,Low,False,False
OBS00171,2024-10-09 22:12:01,EMP0012,Paint Booth,Housekeeping,Poor posture observed during lifting.,Low,False,False
OBS00172,2024-11-22 15:11:52,EMP0171,Tool Room,Chemical Safety,Oil spill spotted on walkway.,Low,False,False
OBS00173,2024-10-23 08:37:20,EMP0110,Tool Room,Machine Safety,Machine guard left open.,Low,False,False
OBS00174,2024-07-11 08:34:41,EMP0083,Yard,PPE,Chemical container improperly placed.,Low,False,False
OBS00175,2024-08-01 12:17:36,EMP0020,Tool Room,Machine Safety,Oil spill spotted on walkway.,High,False,False
OBS00176,2024-11-09 16:30:57,EMP0072,Paint Booth,PPE,Worker showed correct PPE usage.,Medium,False,False
OBS00177,2024-11-25 08:38:08,EMP0185,CNC Area,PPE,Worker showed correct PPE usage.,Low,False,True
OBS00178,2024-02-04 02:23:09,EMP0129,CNC Area,Chemical Safety,Oil spill spotted on walkway.,High,False,False
OBS00179,2024-04-10 02:29:58,EMP0172,Warehouse,Machine Safety,Machine guard left open.,High,False,False
OBS00180,2024-04-01 23:26:58,EMP0125,Press Shop,Ergonomics,Worker showed correct PPE usage.,High,False,False
OBS00181,2024-06-13 05:04:18,EMP0179,Warehouse,PPE,Oil spill spotted on walkway.,Low,False,False
OBS00182,2024-11-14 03:07:19,EMP0090,Yard,PPE,Gloves missing during handling.,High,False,True
OBS00183,2024-01-31 20:45:58,EMP0172,Warehouse,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00184,2024-10-08 11:50:08,EMP0195,Tool Room,Ergonomics,Chemical container improperly placed.,Low,True,False
OBS00185,2024-09-12 14:09:31,EMP0062,Loading Bay,PPE,Gloves missing during handling.,Low,False,True
OBS00186,2024-07-19 13:41:12,EMP0184,Line-1,Housekeeping,Chemical container improperly placed.,Low,False,False
OBS00187,2024-10-17 03:06:13,EMP0119,Tool Room,Chemical Safety,Chemical container improperly placed.,High,False,False
OBS00188,2024-05-30 14:02:38,EMP0160,Line-2,Chemical Safety,Poor posture observed during lifting.,Medium,False,False
OBS00189,2024-11-27 14:06:30,EMP0038,Warehouse,PPE,Worker showed correct PPE usage.,Low,False,False
OBS00190,2024-03-13 20:25:51,EMP0014,Line-2,Machine Safety,Poor posture observed during lifting.,Low,True,False
OBS00191,2024-06-22 08:05:09,EMP0042,Line-3,Housekeeping,Oil spill spotted on walkway.,Low,False,False
OBS00192,2024-01-31 23:51:44,EMP0151,CNC Area,PPE,Worker showed correct PPE usage.,Low,False,False
OBS00193,2024-10-25 02:26:45,EMP0173,CNC Area,Ergonomics,Chemical container improperly placed.,High,False,False
OBS00194,2024-04-01 06:08:19,EMP0115,Line-2,PPE,Machine guard left open.,Medium,False,False
OBS00195,2024-03-04 19:47:55,EMP0105,Line-1,Chemical Safety,Oil spill spotted on walkway.,Low,False,False
OBS00196,2024-09-03 15:45:40,EMP0113,Loading Bay,Ergonomics,Oil spill spotted on walkway.,Low,True,False
OBS00197,2024-11-15 23:48:37,EMP0079,Yard,Housekeeping,Worker showed correct PPE usage.,High,False,False
OBS00198,2024-06-25 01:47:38,EMP0147,Tool Room,Machine Safety,Gloves missing during handling.,Low,True,False
OBS00199,2024-04-24 12:30:44,EMP0164,Yard,Ergonomics,Oil spill spotted on walkway.,Medium,False,False
OBS00200,2024-07-09 07:41:05,EMP0076,Loading Bay,PPE,Worker showed correct PPE usage.,Medium,False,False
OBS00201,2024-05-23 15:33:48,EMP0175,Paint Booth,Ergonomics,Oil spill spotted on walkway.,Low,True,False
OBS00202,2024-01-22 19:09:31,EMP0017,Loading Bay,Chemical Safety,Machine guard left open.,Medium,False,False
OBS00203,2024-03-01 19:25:19,EMP0014,Press Shop,PPE,Machine guard left open.,High,False,False
OBS00204,2024-02-10 19:27:47,EMP0009,Line-1,PPE,Oil spill spotted on walkway.,Low,False,False
OBS00205,2024-07-12 18:44:04,EMP0180,Loading Bay,Machine Safety,Worker showed correct PPE usage.,Medium,True,False
OBS00206,2024-12-26 09:12:14,EMP0196,Line-1,PPE,Worker showed correct PPE usage.,Low,False,False
OBS00207,2024-08-26 22:40:58,EMP0155,Loading Bay,PPE,Worker showed correct PPE usage.,High,False,False
OBS00208,2024-03-28 14:57:51,EMP0186,Press Shop,Ergonomics,Worker showed correct PPE usage.,High,False,False
OBS00209,2024-05-16 01:03:51,EMP0199,Yard,PPE,Chemical container improperly placed.,Medium,False,False
OBS00210,2024-01-21 06:29:48,EMP0116,Line-1,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00211,2024-11-25 19:02:34,EMP0124,Press Shop,Ergonomics,Chemical container improperly placed.,Low,False,False
OBS00212,2024-07-04 12:41:02,EMP0097,Press Shop,PPE,Gloves missing during handling.,Low,False,False
OBS00213,2024-06-02 10:37:08,EMP0184,Paint Booth,Chemical Safety,Poor posture observed during lifting.,High,False,False
OBS00214,2024-09-30 03:37:03,EMP0042,Paint Booth,Chemical Safety,Gloves missing during handling.,Medium,False,False
OBS00215,2024-02-15 00:53:21,EMP0043,Paint Booth,Chemical Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00216,2024-11-08 07:42:22,EMP0067,Yard,Housekeeping,Worker showed correct PPE usage.,Low,False,False
OBS00217,2024-08-20 04:57:03,EMP0131,Line-1,PPE,Oil spill spotted on walkway.,High,False,False
OBS00218,2024-03-27 04:44:24,EMP0186,Warehouse,Machine Safety,Gloves missing during handling.,High,True,False
OBS00219,2024-09-11 05:46:12,EMP0161,Line-3,PPE,Chemical container improperly placed.,High,False,False
OBS00220,2024-03-05 18:04:49,EMP0158,Line-2,Chemical Safety,Chemical container improperly placed.,Medium,False,False
OBS00221,2024-04-19 12:06:35,EMP0062,Yard,Ergonomics,Poor posture observed during lifting.,High,False,False
OBS00222,2024-12-23 18:12:19,EMP0088,Loading Bay,Machine Safety,Oil spill spotted on walkway.,Low,False,False
OBS00223,2024-10-23 05:46:34,EMP0162,Line-1,PPE,Poor posture observed during lifting.,High,False,False
OBS00224,2024-03-02 17:48:30,EMP0144,Warehouse,Ergonomics,Worker showed correct PPE usage.,High,False,False
OBS00225,2024-04-19 12:07:57,EMP0093,Tool Room,Housekeeping,Chemical container improperly placed.,Medium,False,False
OBS00226,2024-05-14 07:54:00,EMP0195,Press Shop,Housekeeping,Gloves missing during handling.,Medium,False,False
OBS00227,2024-05-15 16:30:34,EMP0001,Tool Room,Chemical Safety,Worker showed correct PPE usage.,Low,False,False
OBS00228,2024-03-22 16:07:40,EMP0187,Loading Bay,Ergonomics,Machine guard left open.,High,True,False
OBS00229,2024-07-22 17:20:14,EMP0003,Warehouse,PPE,Chemical container improperly placed.,Low,True,False
OBS00230,2024-03-10 10:35:34,EMP0085,Paint Booth,Chemical Safety,Worker showed correct PPE usage.,Low,False,False
OBS00231,2024-11-27 16:42:23,EMP0151,Paint Booth,Ergonomics,Oil spill spotted on walkway.,High,False,True
OBS00232,2024-05-20 08:02:48,EMP0014,Yard,PPE,Oil spill spotted on walkway.,High,False,False
OBS00233,2024-06-23 23:07:59,EMP0118,Loading Bay,Ergonomics,Chemical container improperly placed.,Low,False,False
OBS00234,2024-07-30 19:05:04,EMP0013,Press Shop,Machine Safety,Oil spill spotted on walkway.,High,True,False
OBS00235,2024-12-28 05:48:55,EMP0113,Tool Room,Chemical Safety,Gloves missing during handling.,Low,False,False
OBS00236,2024-07-21 13:41:13,EMP0035,Paint Booth,Housekeeping,Chemical container improperly placed.,Low,False,False
OBS00237,2024-08-10 14:16:28,EMP0091,Line-1,Housekeeping,Worker showed correct PPE usage.,Medium,False,False
OBS00238,2024-01-21 10:59:53,EMP0006,Yard,Housekeeping,Poor posture observed during lifting.,Medium,False,False
OBS00239,2024-09-18 19:05:39,EMP0138,Line-2,PPE,Poor posture observed during lifting.,High,False,False
OBS00240,2024-03-24 07:52:33,EMP0185,Yard,Machine Safety,Machine guard left open.,Medium,False,False
OBS00241,2024-07-01 18:18:03,EMP0044,Line-3,Housekeeping,Machine guard left open.,High,False,False
OBS00242,2024-04-14 20:48:08,EMP0084,Line-2,Machine Safety,Poor posture observed during lifting.,High,False,False
OBS00243,2024-04-21 08:44:35,EMP0055,Press Shop,Housekeeping,Worker showed correct PPE usage.,High,False,False
OBS00244,2024-02-15 15:16:21,EMP0028,Warehouse,PPE,Gloves missing during handling.,Medium,False,False
